season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,679,Venados de Mazatlan,802559,Victor Morales,1,,3.86,19,0.0,0.263,0.0,0.263,9.64,9.64,0.0,0.00,1.0,4,2,2,2,1,0,0,0,0,0,1,3,0,0,0,45,16,9,2,60.0,18.43,4.526,26.3,26.3,0.0,1.0,0.0,2,1,0,6,0,0,0,0,MAZ,46.0,11.0,20.0,6.0,RP,0,5,5,86,0.0,0,0,0,14,2,0.0,18.6,35.6,22.2,66.7,0.0,11.1,0.0,23.3,7.0,57.9
2024,680,Yaquis de Obregon,445995,Arturo Lopez,1,0.0,3.21,56,0.227,0.273,0.265,0.538,3.86,3.21,0.0,6.43,1.2,0,0,0,0,1,0,0,0,3,0,0,5,2,0,0,99,16,45,1,60.0,15.29,3.821,8.9,10.7,0.0,0.833,0.061,11,2,7,15,2,0,5,3,OBR,129.0,32.0,43.0,27.0,SP,0,6,5,214,0.204,0,1,10,49,5,0.0,7.5,16.2,28.9,40.0,26.7,4.4,1.8,20.1,12.6,57.1
2024,680,Yaquis de Obregon,542413,Felipe Gonzalez,1,0.5,5.63,38,0.286,0.361,0.276,0.637,9.0,7.88,0.0,6.75,1.14,0,0,2,2,0,0,0,3,0,1,0,7,0,0,0,66,18,23,5,58.0,19.38,4.079,18.4,21.1,0.0,0.875,0.069,5,2,0,10,2,0,3,1,OBR,90.0,20.0,42.0,24.0,RP,0,8,7,155,0.207,0,0,6,29,5,0.0,11.6,27.3,30.4,47.8,13.0,8.7,2.7,27.1,15.5,52.6
2024,680,Yaquis de Obregon,570666,Luis Cessa,1,1.0,3.07,56,0.238,0.214,0.259,0.473,7.36,1.23,0.0,6.14,6.0,0,0,2,0,0,0,1,0,2,1,0,4,0,0,0,82,17,42,4,68.0,12.07,3.161,3.6,21.4,0.0,0.167,0.074,8,7,4,13,2,0,4,4,OBR,121.0,35.0,52.0,35.0,SP,0,12,2,177,0.185,0,0,10,54,5,0.0,9.6,20.7,23.8,40.5,19.0,16.7,17.8,29.4,19.8,62.5
2024,680,Yaquis de Obregon,592889,Ernesto Zaragoza,1,0.0,3.38,13,0.6,0.385,0.273,0.658,20.25,6.75,0.0,10.13,3.0,1,0,0,0,3,1,0,1,0,0,0,3,2,0,0,21,9,5,1,60.0,16.88,3.462,15.4,46.2,0.0,0.333,0.0,0,1,0,1,2,0,0,1,OBR,22.0,7.0,10.0,4.0,RP,0,6,2,45,0.273,0,0,3,11,1,0.0,20.0,42.9,40.0,40.0,0.0,20.0,30.8,22.2,8.9,53.8
2024,680,Yaquis de Obregon,593372,Carlos Martinez,1,0.5,5.59,44,0.452,0.386,0.463,0.849,9.31,2.79,0.0,13.03,3.33,0,0,1,0,1,1,1,0,5,0,0,5,0,1,0,72,12,31,13,68.0,16.03,3.523,6.8,22.7,0.0,0.3,0.122,3,4,1,9,6,0,6,2,OBR,106.0,34.0,46.0,34.0,SP,0,10,3,155,0.341,0,0,14,41,6,0.0,7.7,16.7,29.0,35.5,22.6,12.9,15.9,29.7,21.9,77.3
2024,680,Yaquis de Obregon,605218,Carl Edwards Jr.,1,,1.17,90,0.182,0.213,0.232,0.445,6.26,2.35,0.39,5.09,2.67,0,0,0,0,0,0,3,0,3,0,0,12,0,0,0,152,36,68,4,67.0,13.65,3.489,6.7,17.8,0.011,0.375,0.073,14,13,5,23,1,0,8,4,OBR,209.0,57.0,93.0,57.0,SP,1,16,6,314,0.159,0,1,13,82,3,6.7,11.5,23.7,22.1,39.7,19.1,19.1,11.1,29.6,18.2,63.3
2024,680,Yaquis de Obregon,616623,Edwin Fierro,1,0.5,1.42,43,0.222,0.233,0.25,0.483,3.55,0.71,0.0,5.68,5.0,3,0,0,0,0,0,0,2,0,1,5,9,0,0,0,83,12,36,3,68.0,11.76,3.465,2.3,11.6,0.0,0.2,0.05,7,4,1,16,2,0,5,1,OBR,95.0,27.0,28.0,16.0,RP,0,5,1,149,0.2,1,1,8,40,2,0.0,8.1,14.5,25.0,47.2,16.7,11.1,9.3,18.8,10.7,62.8
2024,680,Yaquis de Obregon,622661,Dallas Martinez,1,,0.0,3,1.0,0.667,0.667,1.334,27.0,0.0,0.0,54.00,,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,1,2,0,64.0,42.0,4.667,0.0,33.3,0.0,,0.0,0,0,0,0,0,0,2,0,OBR,9.0,3.0,3.0,2.0,RP,0,1,0,14,0.667,0,0,2,3,0,,7.1,14.3,0.0,0.0,100.0,0.0,33.3,21.4,14.3,100.0
2024,680,Yaquis de Obregon,628333,Odrisamer Despaigne,1,0.5,5.19,120,0.363,0.37,0.374,0.744,5.88,3.81,0.0,11.42,1.55,0,0,4,2,0,1,2,0,7,0,1,19,4,0,1,216,50,92,13,61.0,18.73,4.058,9.2,14.2,0.0,0.647,0.065,10,8,6,35,9,0,9,15,OBR,226.0,55.0,98.0,62.0,SP,0,17,11,487,0.308,0,1,33,107,15,0.0,10.3,23.1,20.7,54.3,16.3,8.7,5.0,20.1,12.7,45.8
