season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%
2024,679,Venados de Mazatlan,679013,Sammy Tavarez,1,,21.6,12,0.375,0.5,0.444,0.944,5.4,16.2,0.0,16.20,0.33,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,22,3,8,1,56.0,31.2,4.333,25.0,8.3,0.0,3.0,0.111,3,1,0,1,1,0,0,2,MAZ,29,6,10,7,RP,0,1,3,52,0.333,0,0,3,9,4,1,0.0,5.8,13.6,50.0,37.5,0.0,12.5,-16.7,19.2,13.5,50.0
2024,679,Venados de Mazatlan,683114,Fernando Burgueno,1,,4.5,11,0.5,0.455,0.5,0.955,9.0,4.5,0.0,18.00,2.0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,16,4,8,0,61.0,18.0,3.273,9.1,18.2,0.0,0.5,0.1,1,1,0,2,1,0,3,0,MAZ,22,7,10,6,RP,0,2,1,36,0.4,0,0,4,10,1,1,0.0,11.1,25.0,25.0,25.0,37.5,12.5,9.1,27.8,16.7,63.6
2024,679,Venados de Mazatlan,690909,Daniel Cruz,1,,15.0,16,0.364,0.5,0.929,1.429,3.0,6.0,6.0,18.00,0.5,8,1,0,0,0,0,0,1,1,0,0,6,0,0,0,30,5,13,2,63.0,19.67,3.688,12.5,6.3,0.125,2.0,0.5,3,1,1,2,2,0,3,1,MAZ,136,33,58,32,RP,2,1,2,59,0.429,0,0,6,14,5,4,40.0,8.5,16.7,38.5,23.1,30.8,7.7,-6.2,98.3,54.2,206.2
2024,679,Venados de Mazatlan,691376,Irving Medina,1,,0.0,4,0.0,0.25,0.0,0.25,9.0,9.0,0.0,0.00,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,2,0,53.0,15.0,3.75,25.0,25.0,0.0,1.0,0.0,0,1,0,1,0,0,0,0,MAZ,8,1,3,1,RP,0,1,1,15,0.0,0,0,0,3,0,0,,13.3,28.6,0.0,50.0,0.0,50.0,0.0,20.0,6.7,25.0
2024,679,Venados de Mazatlan,692643,Ernesto Borges,1,,9.0,15,0.333,0.4,0.333,0.733,9.0,9.0,0.0,9.00,1.0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,18,3,9,0,47.0,19.33,3.867,20.0,20.0,0.0,1.0,0.083,0,2,0,4,0,0,1,2,MAZ,27,7,12,9,RP,0,3,3,58,0.25,0,0,3,12,3,1,,5.2,16.7,0.0,66.7,11.1,22.2,0.0,20.7,15.5,46.7
2024,679,Venados de Mazatlan,694756,J.P. Woodward,1,0.5,6.43,65,0.378,0.453,0.385,0.838,4.5,7.07,0.0,10.93,0.64,6,0,14,3,3,0,0,1,1,1,7,15,2,0,0,98,16,46,6,61.0,17.21,3.708,16.9,10.8,0.0,1.571,0.058,4,3,2,20,3,0,2,12,MAZ,147,31,63,47,RP,0,7,11,241,0.327,1,0,17,52,10,8,0.0,6.6,16.3,15.2,69.6,8.7,6.5,-6.1,26.1,19.5,47.7
2024,679,Venados de Mazatlan,700071,Alexandro Tovalin,1,0.0,6.75,34,0.316,0.412,0.37,0.782,9.45,8.1,1.35,9.45,1.17,5,2,2,2,3,0,0,6,0,0,1,4,1,0,0,59,15,20,1,56.0,22.05,4.324,17.6,20.6,0.029,0.857,0.111,3,0,1,9,2,0,0,5,MAZ,83,17,39,24,RP,1,7,6,147,0.259,1,0,7,27,5,5,20.0,10.2,25.4,25.0,70.0,5.0,0.0,3.0,26.5,16.3,50.0
2024,679,Venados de Mazatlan,701063,Pablo Tellez,1,0.6,3.67,110,0.333,0.324,0.384,0.708,7.67,2.33,0.67,9.00,3.29,0,0,3,1,5,3,1,0,5,0,2,14,0,0,0,203,42,79,21,67.0,15.81,3.882,6.4,20.9,0.018,0.304,0.111,16,10,3,23,3,0,13,11,MAZ,284,71,121,79,SP,2,23,7,427,0.273,1,1,27,99,11,9,10.5,9.8,20.7,24.1,43.0,20.3,12.7,14.5,28.3,18.5,64.5
2024,679,Venados de Mazatlan,802559,Victor Morales,1,,3.0,25,0.167,0.28,0.1,0.38,12.0,7.5,0.0,3.00,1.6,4,2,4,2,1,0,0,0,0,0,1,4,0,0,0,58,20,12,2,62.0,18.33,4.4,20.0,32.0,0.0,0.625,0.0,3,1,0,6,0,0,2,0,MAZ,68,15,30,10,RP,0,8,5,110,0.1,0,0,2,20,2,2,0.0,18.2,34.5,25.0,50.0,16.7,8.3,12.0,27.3,9.1,60.0
2024,680,Yaquis de Obregon,445995,Arturo Lopez,1,0.0,4.3,100,0.288,0.337,0.364,0.701,3.13,3.13,0.39,9.39,1.0,0,0,2,1,1,0,0,0,5,0,1,16,2,0,0,165,23,83,13,60.0,15.74,3.62,8.0,8.0,0.01,1.0,0.091,28,3,8,20,5,0,11,8,OBR,217,56,71,48,SP,1,8,8,362,0.273,1,1,24,88,11,10,3.0,6.4,13.9,39.8,33.7,22.9,3.6,0.0,19.6,13.3,56.0
