date,code,description,ballColor,isStrike,isBall,eventType,ball_count,strike_count,strikeZoneTop,strikeZoneBottom,x,y,pitchNumber,pitcher_name,pitcher_id,pitch_hand,batter_name,batter_id,bat_side
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,single,1,1,3.319,1.513,120.6,143.72,2,Jorge Sauceda,703006,Right,Isaac Rodriguez,665455,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,single,2,1,3.319,1.513,150.41,198.85,3,Jorge Sauceda,703006,Right,Isaac Rodriguez,665455,Right
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,single,2,2,3.319,1.513,134.19,170.11,4,Jorge Sauceda,703006,Right,Isaac Rodriguez,665455,Right
2024-10-13,D,"In play, no out","rgba(26, 86, 190, 1.0)",False,False,single,2,2,3.319,1.513,87.29,139.96,5,Jorge Sauceda,703006,Right,Isaac Rodriguez,665455,Right
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.371,1.535,137.26,157.39,1,Jorge Sauceda,703006,Right,Eric Filia,596107,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,1,3.371,1.535,83.34,206.39,2,Jorge Sauceda,703006,Right,Eric Filia,596107,Left
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,1,2,3.371,1.535,113.59,120.17,3,Jorge Sauceda,703006,Right,Eric Filia,596107,Left
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,1,2,3.371,1.535,129.8,124.41,4,Jorge Sauceda,703006,Right,Eric Filia,596107,Left
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.301,1.504,100.44,153.62,1,Ronald Bolaños,671790,Right,Missael Rivera,668992,Left
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,0,1,3.301,1.504,104.82,154.09,2,Ronald Bolaños,671790,Right,Missael Rivera,668992,Left
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,0,0,3.104,1.448,108.33,167.28,1,Ronald Bolaños,671790,Right,Miguel Guzman,634739,Right
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,1,3.467,1.589,99.56,155.03,1,Ronald Bolaños,671790,Right,Agustin Ruiz,672361,Left
2024-10-13,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,2,3.467,1.589,105.7,200.27,2,Ronald Bolaños,671790,Right,Agustin Ruiz,672361,Left
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,3,3.467,1.589,118.85,120.17,3,Ronald Bolaños,671790,Right,Agustin Ruiz,672361,Left
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,1,3.467,1.589,95.18,159.27,1,Esteban Haro,477462,Right,Yasmany Tomás,630111,Right
2024-10-13,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,0,2,3.467,1.589,101.31,196.5,2,Esteban Haro,477462,Right,Yasmany Tomás,630111,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,1,2,3.467,1.589,112.71,58.44,3,Esteban Haro,477462,Right,Yasmany Tomás,630111,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,strikeout,2,2,3.467,1.589,89.92,220.06,4,Esteban Haro,477462,Right,Yasmany Tomás,630111,Right
2024-10-13,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,strikeout,2,3,3.467,1.589,82.03,187.07,5,Esteban Haro,477462,Right,Yasmany Tomás,630111,Right
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.549,1.627,99.12,148.91,1,Esteban Haro,477462,Right,Felix Stevens,685474,Right
2024-10-13,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,2,3.549,1.627,71.95,213.93,2,Esteban Haro,477462,Right,Felix Stevens,685474,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,1,2,3.549,1.627,103.94,60.79,3,Esteban Haro,477462,Right,Felix Stevens,685474,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,field_out,2,2,3.549,1.627,80.71,217.7,4,Esteban Haro,477462,Right,Felix Stevens,685474,Right
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,2,2,3.549,1.627,102.19,155.5,5,Esteban Haro,477462,Right,Felix Stevens,685474,Right
2024-10-13,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,field_out,0,1,3.319,1.513,123.23,131.0,1,Esteban Haro,477462,Right,Rodolfo Amador,616613,Left
2024-10-13,X,"In play, out(s)","rgba(26, 86, 190, 1.0)",False,False,field_out,0,1,3.319,1.513,107.89,133.36,2,Esteban Haro,477462,Right,Rodolfo Amador,616613,Left
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,1,0,3.285,1.487,60.11,211.1,1,Luis Gastelum,703725,Right,Matt McDermott,694942,Right
2024-10-13,C,Called Strike,"rgba(170, 21, 11, 1.0)",True,False,walk,1,1,3.285,1.487,91.23,167.28,2,Luis Gastelum,703725,Right,Matt McDermott,694942,Right
2024-10-13,S,Swinging Strike,"rgba(170, 21, 11, 1.0)",True,False,walk,1,2,3.285,1.487,113.59,173.41,3,Luis Gastelum,703725,Right,Matt McDermott,694942,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,2,2,3.285,1.487,66.25,221.47,4,Luis Gastelum,703725,Right,Matt McDermott,694942,Right
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,walk,2,2,3.285,1.487,115.34,143.72,5,Luis Gastelum,703725,Right,Matt McDermott,694942,Right
2024-10-13,F,Foul,"rgba(170, 21, 11, 1.0)",True,False,walk,2,2,3.285,1.487,106.13,159.75,6,Luis Gastelum,703725,Right,Matt McDermott,694942,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,3,2,3.285,1.487,47.84,184.72,7,Luis Gastelum,703725,Right,Matt McDermott,694942,Right
2024-10-13,B,Ball,"rgba(39, 161, 39, 1.0)",False,True,walk,4,2,3.285,1.487,75.01,211.1,8,Luis Gastelum,703725,Right,Matt McDermott,694942,Right
