season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,IP_numeric,QS
2024,5482,Algodoneros de Guasave,684118,Victor Buelna,1,RP,7,0,7,16,3,0,0,1,8,2,0,8,0,0.211,38,0.244,0.289,0.533,0,0,,1,156,1.8,10.0,1,0,0,0,3,0,2,1.0,41,30,7,0,0,104,0.67,0,0,1,0,11,0.44,1.0,15.6,0,4.0,7.2,1.8,7.2,2.7,0.9,8,6,0,0,1,GSV,10.0,0
2024,5482,Algodoneros de Guasave,703865,Christian Crespo,1,RP,2,0,4,3,1,0,0,1,2,5,0,2,0,0.182,11,0.438,0.455,0.893,0,0,,2,77,2.45,3.2,0,0,0,0,0,0,1,1.91,16,11,2,0,0,40,0.52,0,0,0,0,5,1.33,,21.0,0,0.4,4.91,12.27,4.91,2.45,2.45,2,0,0,0,0,GSV,3.6666666666666665,0
2024,5482,Algodoneros de Guasave,663793,Dakota Chalmers,1,SP,4,4,19,16,8,2,0,3,22,11,0,18,1,0.247,73,0.345,0.397,0.742,3,4,57.1,4,323,3.0,21.0,1,2,0,0,0,0,7,1.38,87,63,4,0,0,187,0.58,1,0,1,0,29,1.19,0.333,15.38,0,2.0,9.43,4.71,7.71,3.43,1.29,0,0,0,0,2,GSV,21.0,1
2024,5482,Algodoneros de Guasave,691678,Vidal Sotelo,1,SP,3,3,11,16,6,3,0,1,4,7,0,11,1,0.275,40,0.396,0.425,0.821,1,0,0.0,2,189,4.76,11.1,1,1,0,0,0,0,6,1.59,50,34,3,0,0,111,0.59,1,0,1,0,17,0.69,0.5,16.68,0,0.57,3.18,5.56,8.74,4.76,0.79,0,0,0,2,0,GSV,11.333333333333334,0
2024,5482,Algodoneros de Guasave,622739,Ariel Gracia,1,SP,4,4,11,15,7,6,0,0,9,4,0,18,0,0.346,52,0.386,0.462,0.848,1,0,0.0,0,225,4.85,13.0,0,0,0,0,0,0,7,1.69,57,39,4,0,0,140,0.62,0,0,0,0,24,0.73,,17.31,0,2.25,6.23,2.77,12.46,4.85,0.0,0,0,0,0,1,GSV,13.0,0
2024,5482,Algodoneros de Guasave,656839,Jorge Perez,1,SP,4,4,17,30,11,5,0,1,11,3,0,24,1,0.304,79,0.329,0.405,0.734,1,0,0.0,0,290,4.95,20.0,1,2,0,0,0,0,11,1.35,86,60,4,0,0,197,0.68,1,0,0,0,32,0.57,0.333,14.5,0,3.67,4.95,1.35,10.8,4.95,0.45,0,0,0,1,2,GSV,20.0,3
2024,5482,Algodoneros de Guasave,667050,Grant Gavin,1,SP,5,5,23,20,15,6,1,2,21,8,0,21,1,0.253,83,0.323,0.422,0.745,0,2,100.0,1,380,5.4,21.2,2,2,0,0,0,0,13,1.34,94,65,5,0,0,232,0.61,1,0,1,1,35,1.15,0.5,17.54,0,2.63,8.72,3.32,8.72,6.23,0.83,0,0,0,1,1,GSV,21.666666666666668,0
2024,5482,Algodoneros de Guasave,826183,Ian Medina,1,RP,4,0,1,2,1,0,0,0,2,2,0,0,0,0.0,5,0.286,0.0,0.286,0,1,100.0,0,29,5.4,1.2,0,0,0,0,0,0,1,1.2,7,5,4,0,0,13,0.45,0,0,1,0,0,0.5,,17.4,0,1.0,10.8,10.8,0.0,5.4,0.0,6,0,0,0,0,GSV,1.6666666666666665,0
2024,5482,Algodoneros de Guasave,622742,Rafael Cordova,1,RP,12,0,7,9,6,2,0,2,11,1,1,8,1,0.235,34,0.278,0.471,0.749,0,0,,0,125,6.0,9.0,0,1,0,0,4,0,6,1.0,37,27,12,0,0,94,0.75,1,0,1,0,16,0.78,0.0,13.89,3,11.0,11.0,1.0,8.0,6.0,2.0,4,0,0,1,0,GSV,9.0,0
2024,5482,Algodoneros de Guasave,703721,Ivan Izaguirre,1,RP,8,0,14,5,6,3,0,2,7,4,0,10,1,0.303,33,0.395,0.576,0.971,0,1,100.0,1,156,6.23,8.2,0,1,0,0,0,0,6,1.62,41,26,8,0,0,93,0.6,1,0,0,0,19,2.8,0.0,18.0,2,1.75,7.27,4.15,10.38,6.23,2.08,10,6,0,3,0,GSV,8.666666666666666,0
